destination_port,duration,total_packets,total_bytes,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,average_packet_size,packets_per_sec,fwd_bwd_ratio
443,0.279,96,101309,47,49,4933,96376,1055.3,344.5,0.05
123,0.039,2,220,1,1,110,110,110.0,50.7,1.0
443,0.227,24,5852,14,10,1736,4116,243.8,106.0,0.42
443,0.358,109,136609,57,52,5704,130905,1253.3,304.7,0.04
443,0.169,29,16069,13,16,1682,14387,554.1,171.2,0.12
443,0.095,301,1356466,134,167,12379,1344087,4506.5,3152.9,0.01
443,0.075,22,8095,12,10,1881,6214,368.0,292.6,0.3
123,0.039,2,220,1,1,110,110,110.0,51.9,1.0
